Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
SNCAIP	gene	SNCAIP	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	3	0;0;100	0.430	False		ENSG00000064692	ENSG00000064692	HGNC:11139													
SOD1	gene	SOD1	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 1 MIM#105400;Spastic tetraplegia and axial hypotonia, progressive MIM#618598				8625408;21545237;16503123;19252762;20577002		False	3	50;0;50	0.430	True		ENSG00000142168	ENSG00000142168	HGNC:11179													
SPG11	gene	SPG11	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Incidentalome			BIALLELIC, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 5, juvenile, MIM# 602099				27318863;28237315;18079167;20110243		False	3	100;0;0	0.430	True		ENSG00000104133	ENSG00000104133	HGNC:11226													
STK11	gene	STK11	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Peutz-Jeghers syndrome, MIM# 175200						False	3	100;0;0	0.430	True		ENSG00000118046	ENSG00000118046	HGNC:11389													
TARDBP	gene	TARDBP	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 10, with or without FTD;Frontotemporal lobar degeneration, TARDBP-related (MIM#612069;MONDO: 0012790)				18309045;19609911		False	3	100;0;0	0.430	True		ENSG00000120948	ENSG00000120948	HGNC:11571													
TBK1	gene	TBK1	Expert Review;Expert Review Green	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4 (MIM#616439), AD				25803835;26581300;31000212;25943890		False	3	100;0;0	0.430	True		ENSG00000183735	ENSG00000183735	HGNC:11584													
TGFBR1	gene	TGFBR1	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Loeys-Dietz syndrome 1, MIM# 609192				30071989;27879313		False	3	100;0;0	0.430	True		ENSG00000106799	ENSG00000106799	HGNC:11772													
TGFBR2	gene	TGFBR2	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Loeys-Dietz syndrome 2 , MIM#610168				30071989;27879313		False	3	100;0;0	0.430	True		ENSG00000163513	ENSG00000163513	HGNC:11773													
THSD4	gene	THSD4	Expert Review Green;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Aortic aneurysm, familial thoracic 12, MIM# 619825				32855533		False	3	100;0;0	0.430	True		ENSG00000187720	ENSG00000187720	HGNC:25835													
TMEM43	gene	TMEM43	Expert Review Green;Literature;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Arrhythmogenic right ventricular dysplasia 5, MIM# 604400;Auditory neuropathy, autosomal dominant 3, MIM# 619832;Emery-Dreifuss muscular dystrophy 7 (MIM#614302)				18313022;21214875;23812740;22725725;24598986;29980933;34050020;21391237;30311943;33831308		False	3	50;50;0	0.430	True		ENSG00000170876	ENSG00000170876	HGNC:28472													
TNNI3	gene	TNNI3	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cardiomyopathy, dilated, 1FF, MIM#613286;Cardiomyopathy, hypertrophic, 7, MIM# 613690;Cardiomyopathy, familial restrictive, MIM#1115210				35838873;22464770;31568572;19590045;20215591;21846512;2226790;30681346;15607392		False	3	100;0;0	0.430	True		ENSG00000129991	ENSG00000129991	HGNC:11947													
