Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
NAGS	gene	NAGS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	N-acetylglutamate synthetase deficiency						False	3	0;0;0	0.280	False		ENSG00000161653	ENSG00000161653	HGNC:17996													
NBN	gene	NBN	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nijmegen breakage syndrome						False	3	0;0;0	0.280	False		ENSG00000104320	ENSG00000104320	HGNC:7652													
NCF1	gene	NCF1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Chronic granulomatous disease						False	3	0;0;0	0.280	False		ENSG00000158517	ENSG00000158517	HGNC:7660													
NCF2	gene	NCF2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Chronic granulomatous disease						False	3	0;0;0	0.280	False		ENSG00000116701	ENSG00000116701	HGNC:7661													
NDP	gene	NDP	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Norrie disease						False	3	0;0;0	0.280	False		ENSG00000124479	ENSG00000124479	HGNC:7678													
NEB	gene	NEB	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nemaline myopathy						False	3	0;0;0	0.280	False		ENSG00000183091	ENSG00000183091	HGNC:7720													
NEFL	gene	NEFL	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease						False	3	0;0;0	0.280	False		ENSG00000104725	ENSG00000277586	HGNC:7739													
NEK1	gene	NEK1	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Short-rib thoracic dysplasia 6 with or without polydactyly, MIM# 263520				21211617;22499340;25492405;28123176		False	3	100;0;0	0.280	True		ENSG00000137601	ENSG00000137601	HGNC:7744													
NEK8	gene	NEK8	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Renal-hepatic-pancreatic dysplasia 2, MIM# 615415;MONDO:0014174				33131162;23418306;26862157;26697755;26967905;23274954;31633649		False	3	100;0;0	0.280	True		ENSG00000160602	ENSG00000160602	HGNC:13387													
NEU1	gene	NEU1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Sialidosis						False	3	0;0;0	0.280	False		ENSG00000204386	ENSG00000204386	HGNC:7758													
NEUROG3	gene	NEUROG3	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Diarrhoea 4, malabsorptive, congenital, MIM# 610370				16855267;32574610;28724572;21490072		False	3	100;0;0	0.280	True		ENSG00000122859	ENSG00000122859	HGNC:13806													
NF1	gene	NF1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurofibromatosis, type 1						False	3	0;0;0	0.280	False		ENSG00000196712	ENSG00000196712	HGNC:7765													
NF2	gene	NF2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurofibromatosis 2						False	3	0;0;0	0.280	False		ENSG00000186575	ENSG00000186575	HGNC:7773													
NGLY1	gene	NGLY1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Developmental delay, multifocal epilepsy & abnormal liver function						False	3	0;0;0	0.280	False		ENSG00000151092	ENSG00000151092	HGNC:17646													
NHEJ1	gene	NHEJ1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation						False	3	0;0;0	0.280	False		ENSG00000187736	ENSG00000187736	HGNC:25737													
NHLRC1	gene	NHLRC1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Myoclonic epilepsy of Lafora						False	3	0;0;0	0.280	False		ENSG00000187566	ENSG00000187566	HGNC:21576													
NIPAL4	gene	NIPAL4	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Ichthyosis, autosomal recessive						False	3	0;0;0	0.280	False		ENSG00000172548	ENSG00000172548	HGNC:28018													
NIPBL	gene	NIPBL	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cornelia de Lange syndrome						False	3	0;0;0	0.280	False		ENSG00000164190	ENSG00000164190	HGNC:28862													
NKX2-1	gene	NKX2-1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Choreoathetosis, hypothyroidism, and neonatal respiratory distress						False	3	0;0;0	0.280	False		ENSG00000136352	ENSG00000136352	HGNC:11825													
NOG	gene	NOG	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Symphalangism, proximal, 1A						False	3	0;0;0	0.280	False		ENSG00000183691	ENSG00000183691	HGNC:7866													
NOTCH2	gene	NOTCH2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hajdu-Cheney syndrome						False	3	0;0;0	0.280	False		ENSG00000134250	ENSG00000134250	HGNC:7882													
NOTCH3	gene	NOTCH3	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy						False	3	0;0;0	0.280	False		ENSG00000074181	ENSG00000074181	HGNC:7883													
NPC1	gene	NPC1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Niemann-Pick disease type C1						False	3	0;0;0	0.280	False		ENSG00000141458	ENSG00000141458	HGNC:7897													
NPC2	gene	NPC2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Niemann-Pick disease type C2						False	3	0;0;0	0.280	False		ENSG00000119655	ENSG00000119655	HGNC:14537													
NPHP1	gene	NPHP1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis						False	3	0;0;0	0.280	False		ENSG00000144061	ENSG00000144061	HGNC:7905													
NPHP3	gene	NPHP3	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis						False	3	0;0;0	0.280	False		ENSG00000113971	ENSG00000113971	HGNC:7907													
